Frame, Time (ms)
  365,  4324.391
  366,  4336.163
  367,  4347.854
  368,  4360.718
  369,  4376.985
  370,  4385.486
  371,  4396.919
  372,  4410.175
  373,  4422.707
  374,  4435.982
  375,  4446.884
  376,  4459.721
  377,  4472.563
  378,  4484.726
  379,  4497.205
  380,  4511.573
  381,  4523.112
  382,  4534.680
  383,  4546.250
  384,  4559.332
  385,  4573.184
  386,  4582.983
  387,  4596.167
  388,  4608.679
  389,  4621.469
  390,  4632.061
  391,  4648.054
  392,  4658.750
  393,  4671.051
  394,  4682.077
  395,  4695.755
  396,  4709.541
  397,  4721.493
  398,  4731.997
  399,  4745.452
  400,  4758.037
  401,  4772.174
  402,  4781.222
  403,  4800.514
  404,  4809.436
  405,  4820.762
  406,  4832.429
  407,  4845.900
  408,  4856.786
  409,  4868.953
  410,  4880.793
  411,  4892.923
  412,  4907.940
  413,  4917.916
  414,  4929.203
  415,  4942.760
  416,  4955.066
  417,  4966.355
  418,  4980.964
  419,  4992.790
  420,  5003.781
  421,  5014.820
  422,  5027.745
  423,  5042.421
  424,  5052.506
  425,  5063.643
  426,  5076.661
  427,  5089.759
  428,  5099.916
  429,  5114.574
  430,  5125.499
  431,  5137.680
  432,  5149.020
  433,  5162.569
  434,  5176.816
  435,  5187.192
  436,  5199.613
  437,  5212.019
  438,  5223.856
  439,  5237.835
  440,  5247.573
  441,  5261.339
  442,  5273.449
  443,  5285.919
  444,  5298.004
  445,  5313.486
  446,  5325.418
  447,  5336.068
  448,  5347.649
  449,  5360.877
  450,  5373.003
  451,  5383.380
  452,  5396.972
  453,  5409.357
  454,  5421.569
  455,  5432.424
  456,  5449.922
  457,  5459.125
  458,  5471.089
  459,  5482.073
  460,  5494.967
  461,  5507.817
  462,  5518.605
  463,  5530.103
  464,  5543.492
  465,  5555.218
  466,  5566.381
  467,  5580.600
  468,  5591.407
  469,  5604.514
  470,  5615.656
  471,  5628.168
  472,  5641.908
  473,  5652.777
  474,  5663.882
  475,  5677.762
  476,  5690.016
  477,  5703.853
  478,  5713.826
  479,  5726.399
  480,  5738.572
  481,  5749.811
  482,  5763.106
  483,  5775.744
  484,  5787.395
  485,  5800.256
  486,  5813.300
  487,  5825.201
  488,  5839.710
  489,  5848.719
  490,  5861.535
  491,  5875.102
  492,  5886.423
  493,  5897.597
  494,  5912.064
  495,  5923.734
  496,  5936.507
  497,  5947.759
  498,  5961.396
  499,  5976.495
  500,  5987.388
  501,  5998.255
  502,  6012.740
  503,  6024.466
  504,  6037.968
  505,  6048.364
  506,  6062.404
  507,  6075.065
  508,  6087.392
  509,  6099.007
  510,  6113.852
  511,  6125.065
  512,  6137.525
  513,  6150.308
  514,  6163.519
  515,  6176.224
  516,  6187.640
  517,  6200.895
  518,  6213.681
  519,  6226.791
  520,  6241.122
  521,  6251.999
  522,  6263.302
  523,  6276.925
  524,  6289.625
  525,  6303.133
  526,  6313.541
  527,  6328.510
  528,  6340.213
  529,  6352.528
  530,  6364.253
  531,  6379.246
  532,  6390.516
  533,  6403.960
  534,  6414.681
  535,  6428.077
  536,  6442.076
  537,  6453.529
  538,  6464.682
  539,  6479.135
  540,  6491.513
  541,  6507.955
  542,  6515.872
  543,  6529.057
  544,  6543.329
  545,  6554.835
  546,  6566.169
  547,  6581.023
  548,  6592.225
  549,  6605.817
  550,  6617.333
  551,  6628.801
  552,  6644.130
  553,  6655.363
  554,  6667.613
  555,  6680.045
  556,  6693.603
  557,  6707.870
  558,  6719.356
  559,  6730.566
  560,  6744.082
  561,  6756.978
  562,  6770.896
  563,  6780.896
  564,  6794.133
  565,  6807.236
  566,  6819.919
  567,  6831.127
  568,  6847.042
  569,  6857.707
  570,  6870.137
  571,  6882.372
  572,  6895.467
  573,  6910.085
  574,  6920.660
  575,  6931.486
  576,  6945.052
  577,  6958.092
  578,  6971.167
  579,  6981.536
  580,  6995.488
  581,  7007.871
  582,  7019.840
  583,  7031.036
  584,  7046.969
  585,  7057.568
  586,  7069.458
  587,  7081.199
  588,  7093.733
  589,  7107.089
  590,  7118.374
  591,  7129.752
  592,  7143.800
  593,  7156.070
  594,  7169.338
  595,  7179.609
  596,  7193.159
  597,  7206.551
  598,  7217.360
  599,  7231.133
  600,  7243.453
  601,  7255.308
  602,  7267.459
  603,  7279.711
  604,  7292.489
  605,  7307.128
  606,  7316.273
  607,  7331.172
  608,  7343.895
  609,  7354.679
  610,  7366.835
  611,  7380.285
  612,  7391.555
  613,  7404.912
  614,  7416.106
  615,  7429.007
  616,  7443.835
  617,  7454.199
  618,  7465.291
  619,  7479.046
  620,  7491.594
  621,  7505.702
  622,  7516.550
  623,  7529.623
  624,  7542.284
  625,  7554.934
  626,  7566.195
  627,  7583.828
  628,  7592.640
  629,  7605.197
  630,  7616.169
  631,  7628.883
  632,  7642.939
  633,  7654.764
  634,  7665.535
  635,  7681.239
  636,  7692.291
  637,  7700.389
  638,  7710.418
  639,  7717.436
  640,  7729.929
  641,  7738.051
  642,  7746.046
  643,  7756.526
  644,  7765.239
  645,  7776.599
  646,  7784.936
  647,  7793.719
  648,  7803.406
  649,  7812.074
  650,  7822.370
  651,  7830.968
  652,  7843.883
  653,  7851.802
  654,  7859.358
  655,  7869.225
  656,  7877.228
  657,  7888.429
  658,  7896.397
  659,  7907.287
  660,  7914.887
  661,  7926.104
  662,  7934.823
  663,  7942.709
  664,  7953.559
  665,  7962.614
  666,  7973.572
  667,  7980.697
  668,  7991.215
  669,  7999.181
  670,  8009.395
  671,  8018.962
  672,  8028.139
  673,  8038.783
  674,  8046.311
  675,  8057.175
  676,  8066.242
  677,  8075.470
  678,  8083.537
  679,  8094.067
  680,  8105.712
  681,  8112.605
  682,  8121.479
  683,  8130.341
  684,  8140.450
  685,  8149.026
  686,  8159.370
  687,  8169.504
  688,  8177.260
  689,  8186.918
  690,  8195.938
  691,  8207.335
  692,  8215.202
  693,  8225.120
  694,  8232.634
  695,  8244.535
  696,  8252.372
  697,  8261.008
  698,  8270.692
  699,  8278.798
  700,  8289.278
  701,  8298.680
  702,  8310.100
  703,  8318.030
  704,  8326.896
  705,  8336.280
  706,  8344.896
  707,  8356.043
  708,  8364.224
  709,  8376.112
  710,  8382.718
  711,  8392.913
  712,  8402.130
  713,  8410.381
  714,  8420.734
  715,  8429.492
  716,  8443.636
  717,  8451.284
  718,  8458.289
  719,  8466.481
  720,  8476.343
  721,  8486.026
  722,  8494.758
  723,  8505.430
  724,  8512.484
  725,  8522.689
  726,  8530.972
  727,  8540.739
  728,  8549.101
  729,  8559.802
  730,  8569.462
  731,  8576.754
  732,  8587.600
  733,  8595.913
  734,  8606.130
  735,  8613.757
  736,  8624.853
  737,  8633.288
  738,  8645.355
  739,  8653.362
  740,  8661.434
  741,  8670.257
  742,  8678.552
  743,  8688.910
  744,  8697.323
  745,  8709.938
  746,  8717.587
  747,  8728.531
  748,  8736.531
  749,  8743.843
  750,  8754.301
  751,  8763.375
  752,  8773.765
  753,  8780.898
  754,  8791.615
  755,  8799.436
  756,  8809.581
  757,  8818.760
  758,  8827.831
  759,  8838.943
  760,  8845.963
  761,  8856.733
  762,  8864.974
  763,  8875.380
  764,  8883.014
  765,  8894.991
  766,  8904.989
  767,  8912.310
  768,  8922.012
  769,  8930.118
  770,  8940.018
  771,  8948.428
  772,  8958.645
  773,  8966.887
  774,  8977.644
  775,  8986.825
  776,  8995.510
  777,  9005.600
  778,  9013.979
  779,  9024.352
  780,  9032.618
  781,  9044.496
  782,  9053.396
  783,  9061.258
  784,  9072.507
  785,  9080.200
  786,  9090.463
  787,  9098.704
  788,  9109.808
  789,  9117.886
  790,  9127.121
  791,  9137.676
  792,  9146.023
  793,  9157.428
  794,  9165.030
  795,  9177.233
  796,  9184.976
  797,  9193.102
  798,  9203.695
  799,  9211.373
  800,  9221.466
  801,  9230.358
  802,  9241.238
  803,  9248.617
  804,  9259.912
  805,  9268.454
  806,  9276.367
  807,  9287.589
  808,  9295.776
  809,  9307.596
  810,  9314.939
  811,  9325.590
  812,  9333.573
  813,  9342.856
  814,  9351.998
  815,  9361.023
  816,  9373.275
  817,  9380.432
  818,  9389.654
  819,  9398.523
  820,  9408.431
  821,  9417.990
  822,  9427.390
  823,  9438.740
  824,  9446.063
  825,  9455.911
  826,  9464.109
  827,  9474.249
  828,  9482.819
  829,  9494.105
  830,  9503.220
  831,  9510.780
  832,  9521.433
  833,  9530.245
  834,  9541.232
  835,  9549.125
  836,  9560.404
  837,  9570.988
  838,  9578.516
  839,  9588.835
  840,  9597.377
  841,  9607.591
  842,  9616.118
  843,  9626.682
  844,  9637.143
  845,  9644.792
  846,  9655.464
  847,  9664.959
  848,  9676.474
  849,  9685.010
  850,  9692.385
  851,  9701.189
  852,  9715.540
  853,  9724.845
  854,  9732.590
  855,  9740.674
  856,  9748.663
  857,  9758.369
  858,  9766.567
  859,  9777.665
  860,  9786.179
  861,  9793.779
  862,  9804.397
  863,  9812.564
  864,  9822.220
  865,  9830.809
  866,  9842.903
  867,  9850.085
  868,  9861.010
  869,  9869.355
  870,  9877.357
  871,  9887.411
  872,  9895.986
  873,  9907.748
  874,  9915.493
  875,  9925.854
  876,  9933.398
  877,  9943.581
  878,  9952.032
  879,  9960.304
  880,  9972.532
  881,  9979.447
  882,  9989.625
  883,  9998.105
  884, 10007.632
  885, 10015.684
  886, 10026.191
  887, 10036.265
  888, 10044.616
  889, 10055.123
  890, 10062.481
  891, 10072.808
  892, 10080.632
  893, 10091.549
  894, 10099.356
  895, 10110.845
  896, 10118.825
  897, 10127.744
  898, 10137.327
  899, 10146.344
  900, 10156.456
  901, 10165.163
  902, 10177.092
  903, 10186.203
  904, 10193.501
  905, 10203.774
  906, 10212.114
  907, 10222.346
  908, 10230.424
  909, 10243.999
  910, 10252.107
  911, 10259.525
  912, 10271.310
  913, 10279.610
  914, 10287.993
  915, 10295.918
  916, 10306.969
  917, 10315.309
  918, 10326.462
  919, 10335.118
  920, 10344.234
  921, 10354.788
  922, 10363.064
  923, 10375.176
  924, 10383.444
  925, 10393.689
  926, 10404.332
  927, 10412.310
  928, 10422.536
  929, 10430.729
  930, 10441.303
  931, 10449.940
  932, 10459.690
  933, 10469.170
  934, 10477.590
  935, 10488.208
  936, 10497.067
  937, 10509.944
  938, 10517.883
  939, 10526.570
  940, 10537.468
  941, 10546.591
  942, 10557.761
  943, 10566.270
  944, 10578.001
  945, 10587.525
  946, 10596.609
  947, 10607.211
  948, 10616.093
  949, 10628.281
  950, 10639.200
  951, 10646.493
  952, 10657.603
  953, 10667.689
  954, 10676.967
  955, 10688.170
  956, 10697.669
  957, 10709.781
  958, 10718.772
  959, 10728.570
  960, 10740.153
  961, 10748.538
  962, 10760.251
  963, 10772.739
  964, 10780.995
  965, 10790.118
  966, 10800.999
  967, 10811.660
  968, 10820.964
  969, 10830.609
  970, 10843.119
  971, 10851.824
  972, 10862.986
  973, 10873.680
  974, 10882.160
  975, 10892.726
  976, 10904.516
  977, 10912.271
  978, 10923.256
  979, 10932.898
  980, 10943.965
  981, 10953.928
  982, 10963.969
  983, 10975.387
  984, 10983.842
  985, 10996.311
  986, 11005.435
  987, 11014.703
  988, 11025.652
  989, 11039.809
  990, 11047.086
  991, 11057.432
  992, 11067.626
  993, 11078.025
  994, 11089.088
  995, 11098.252
  996, 11110.162
  997, 11119.434
  998, 11129.617
  999, 11140.927
 1000, 11150.195
 1001, 11161.419
 1002, 11173.009
 1003, 11180.210
 1004, 11191.934
 1005, 11204.290
 1006, 11212.656
 1007, 11222.900
 1008, 11232.938
 1009, 11244.353
 1010, 11253.272
 1011, 11262.708
 1012, 11273.508
 1013, 11282.654
 1014, 11293.539
 1015, 11307.095
 1016, 11315.618
 1017, 11325.810
 1018, 11335.895
 1019, 11344.029
 1020, 11354.828
 1021, 11364.489
 1022, 11377.005
 1023, 11385.509
 1024, 11394.553
 1025, 11405.641
 1026, 11414.208
 1027, 11427.022
 1028, 11437.097
 1029, 11445.208
 1030, 11455.723
 1031, 11464.279
 1032, 11475.294
 1033, 11484.999
 1034, 11494.342
 1035, 11506.241
 1036, 11513.842
 1037, 11524.670
 1038, 11534.264
 1039, 11544.087
 1040, 11554.244
 1041, 11563.444
 1042, 11575.293
 1043, 11583.199
 1044, 11594.347
 1045, 11604.029
 1046, 11611.883
 1047, 11622.088
 1048, 11631.679
 1049, 11643.907
 1050, 11652.743
 1051, 11660.818
 1052, 11671.311
 1053, 11680.065
 1054, 11690.482
 1055, 11700.196
 1056, 11711.966
 1057, 11720.554
 1058, 11729.107
 1059, 11739.864
 1060, 11748.101
 1061, 11759.492
 1062, 11768.590
 1063, 11777.747
 1064, 11787.565
 1065, 11796.144
 1066, 11806.339
 1067, 11814.729
 1068, 11825.676
 1069, 11839.819
 1070, 11847.148
 1071, 11855.220
 1072, 11863.097
 1073, 11872.590
 1074, 11880.582
 1075, 11891.121
 1076, 11899.130
 1077, 11909.897
 1078, 11918.139
 1079, 11927.301
 1080, 11936.319
 1081, 11944.524
 1082, 11954.736
 1083, 11963.346
 1084, 11974.106
 1085, 11981.038
 1086, 11992.144
 1087, 11999.782
 1088, 12008.980
 1089, 12017.812
 1090, 12026.539
 1091, 12037.055
 1092, 12043.972
 1093, 12054.026
 1094, 12062.071
 1095, 12071.984
 1096, 12081.303
 1097, 12091.514
 1098, 12098.895
 1099, 12110.021
