FPS
91
87
80
81
80
82
79
89
107
107
102
102
116
107
79
74
69
63
63
71
95
93
96
100
65
59
59
64
78
84
88
94
102
104
105
109
111
110
75
74
75
76
75
77
51
51
44
39
43
38
36
37
37
38
46
46
50
50
53
57
