FPS
91
86
81
80
80
81
80
87
107
105
103
100
115
107
79
74
68
64
62
68
96
92
95
99
65
59
58
62
77
82
87
93
101
104
104
107
111
110
75
73
75
75
75
77
51
51
44
39
43
38
37
37
37
38
46
46
49
50
52
58
